,Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
733,Israelite have become much for us.,The israelites have become much too numerous for us.,Israelite have become much for us.,52.76276855000391,0.8691852,"Israelite have become much for us, and we've become much for them.","Israelite have become much for us, and we've become much for them, too."
736,You know what i am talking.,You know what i am talking about.,I am talking about your mother.,51.440084886020834,0.77581525,I am talking about your cat.,I am talking about your mother's house.
739,Well we will keep you posted.,Well we will keep you posted on.,We are going to go to the bar and have a few drinks.,11.037045203145086,0.68784845,We are going to go to the bar and have a drink.,We are going to go to the bar and have some drinks.
740,Yeah have be less than or to two thirds.,Yeah have is less than or equal to negative two thirds.,Yeah have be less than or to two thirds.,52.50530356045415,0.9398675,Yeah have be less than or to two thirds.,Yeah have be less than or to two thirds.
742,Those gives me more lift him.,That gives me more lift to him.,I'm a strong person.,7.1225071225071215,0.73706007,I'm a good person.,I'm able to carry him better.
743,Oh it is what you have want.,Oh it is just what you have always wanted.,It's what you have want.,37.05244672976847,0.84108144,It's what you have always wanted.,It is just what you have want.
744,And it was ready come and we take it.,And it was ready to come off and we took it off.,And it was ready come and we take it.,49.345205940913566,0.85221636,And it was ready come come and we take it.,And it was ready come and we took it.
749,Now way do it be all bent.,Now the traditional way to do it is not all bent over.,Now way do it be all bent.,22.97043775790343,0.74318737,Now way do it be all bent.,Then way do it be all bent.
750,Hey you know might have gotten.,Hey you never know might have gotten.,I am a little bit tired.,6.431399060944851,0.7089324,I am a little bit upset.,I am a little late.
752,You hate start out ten ofclock.,You hate to start out at ten ofclock.,You hate start out ten ofclock.,71.52880062996371,0.95151037,You hate start out ten ofclock.,You hate start out ten ofclock.
753,And all animal go to lake.,And so all the animals went to the lake.,And all animal go to lake.,30.983830315638414,0.9529569,And all animal go to zoo.,And all animal go to zoo.
755,I know glen have like get dates computer.,I know glen has to like get dates through the computer.,Glen likes to play computer games.,26.00419269022086,0.837325,Glen likes to play video games.,Glen likes to play computer.
757,Oh mason give me a chri,Oh mason gave me uh like a chri.,Mason give me a chri,35.33694819344604,0.90818083,Mason give me a chri,Mason give me a Chris
760,Policy she take on their husband.,Because of the policy she took out on her husband.,She is a good wife and a good mother.,13.104621551321976,0.68601346,She is a good wife.,She is a good wife and a great mother.
761,And people went see what have happened.,And the people went out to see what had happened.,The robbery was a success.,5.507460369975535,0.69359565,The robbery was a huge success.,The robbery was over.
764,You look much arike like yeah.,You look so much arike like yeah.,I think you're a lot like me.,17.514520489533687,0.78458786,I think you're a lot like me too.,I like you much arike like
765,I have not eaten since i eat foods todays.,I have not eaten since i ate that chinese food today.,I have not eaten since i eat foods todays.,55.3875969105339,0.92777836,I have not eaten since i ate foods todays.,I have not eaten since I eat foods todays.
766,You do sell that kind things here.,You do not sell that kind of thing here.,You do sell that kind of things here.,73.09986125613418,0.8209514,You do sell that kind things here.,You do sell that kind of things.
767,This you know it will balance if you dons.,That then you know it will never balance if you don.,This you know it will balance if you dons.,62.06380918881111,0.8321055,This you know it will balance if you dons.,This you know it will balance if you dons.
768,Well it be it is connect right now.,Well it is not it is not connected up right now.,Well it be it is connect right now.,47.844078210427874,0.8075613,Well it be connect right now.,Well it be it is connect.
769,I would carry my own paperworks.,I would not carry my own paperwork.,I would be responsible for my own safety.,28.387215701339013,0.7329496,I would be responsible for my own actions.,I would be able to make sure that I got everything that I needed.
774,Good we had such nice day.,Good we had such a nice day.,We had a lot of fun at the park.,15.281014055690733,0.83304524,We had a lot of fun.,We had a lot of fun in the park.
776,I have yeah that be good.,I usually have yeah that is good.,I have a lot of things to do.,17.677768948254048,0.6558976,I have a lot of work to do.,I have a lot of things.
777,Times it come up i would punch.,Every time it come up busy i would punch redial.,I would punch him in the face.,26.8315023040902,0.74151903,I would punch the wall.,I would punch him in the mouth.
779,He come end of barn jumped a fourandahalffeet gate.,He came out the end of the barn jumped a fourandahalffoot gate.,He come end of barn jumped a fourandahalffeet gate.,63.12635968280888,0.9691254,He came end of barn jumped a fourandahalffeet gate.,He come end of barn jumped a fourandahalffeet gate.
781,You know i know be beaches.,You know all i knew was the beach.,I know i know be beaches.,29.418655406323055,0.8483647,I know i know be beaches.,I know i know i know be beaches.
782,I was go see wilbur but he did.,I was going to see wilbur but he did not.,Wilbur is my brother.,15.943594252768731,0.74970686,Wilbur is my favorite artist.,Wilbur has a phobia of dogs.
783,The other things you can do deck be.,Now the other thing you can do with this deck is.,The other things you can do deck be.,48.62910541318091,0.9082582,The other things you can do deck be.,The other things you can do deck be to.
784,Only heat you have in this room is one register there.,The only heat you have in this room is that one register over there.,The room is very cold.,14.382839871978542,0.79011106,The room is too hot.,The room is so cold.
787,I be lot of things that be go on.,I am aware of a lot of the things that are going on.,I be the one in charge of everything.,20.164153063826948,0.7386519,I be bored.,I be the one in charge.
790,And i say hey look we are all code.,And i said hey look we are all within the code.,And i say hey look we are all code.,56.25138164309883,0.90621483,And i say hey look look we are all code.,And i say hey look we are all code.
792,Okay and these will make tapes copy.,Okay and this will make a superior tape copy.,I'll put the tapes on the table and I'll put the tapes on the table.,15.455956663227926,0.80561876,I'll put the tapes on the table and I'll make copies of the tapes.,I'll put the tapes on the table and I'll put the tapes on top of them.
795,Because this wall is eventually go come.,Because this wall is eventually going to come out.,I am going to break it down.,16.861919604019157,0.75766695,I am going to paint it white.,I am going to paint it red.
796,Mothers took the babies put baby put moses in water.,The mother took the baby put the baby put moses in the water.,The baby was crying.,13.699657421212104,0.7855648,The babies were thirsty.,The babies were thirsty and cried.
797,Yeah i go threehundred pounds days.,Yeah i go through about threehundred pounds a day.,I'm a big guy.,5.161474405719134,0.7873101,I'm a big eater.,I'm a monster.
798,And making it a straight shirt.,And just making it a straight shirt.,And making it a straight shirt.,80.1917789592964,0.9893204,"And making it a straight shirt, a straight shirt, and making it a straight shirt, and making it ","And making it a straight shirt, a straight shirt, and making it a straight shirt, a straight shirt"
799,Well then see that is thing.,Well then see that is another thing.,Well then see that is thing.,68.40430593959546,0.8811557,Well then see that is thing.,Well then see that is thing.
800,Just ahead you are do alright.,Just yogo ahead you are doing alright.,Just ahead you are do alright.,62.61051741179363,0.9063443,You'll do alright.,Just ahead you are do alright.
801,Because she be looking the windows.,Because she was looking out the window.,She want to look out the window.,47.29523266428684,0.9296503,She want to look out the windows.,She want to see the world.
802,Do we have look at ones i be.,Why do we have to look at the one i am on.,Do we have look at ones i be.,35.07499435010726,0.81622434,Do we have to look at ones i be.,We have look at ones i be.
805,We put four pillows your knees.,We put four pillows under his knees.,We put four pillows on your knees.,63.87111061891535,0.9154043,We put four pillows your knees.,We sat on the couch.
808,I thought those was funny myself.,I thought that was pretty funny myself.,I thought the jokes were very funny.,39.87121561975272,0.85108113,I thought the jokes were very clever.,I thought the jokes were very well done.
812,This mother know what she be doing.,And it does not say here that she devised a plan but believe me this mother knew what she was doing.,She is feeding her baby with a spoon.,10.300656495393431,0.6554698,She is feeding her baby a healthy diet.,She is feeding her baby a healthy breakfast.
815,At he is sitting its feet i pet him.,At least he is not sitting on his feet when i pet him now.,He is very happy.,4.771542025322865,0.7649342,He is very happy and loves me.,He is very happy and friendly.
816,Well it is coming off windings,Well it is coming off as a winding.,It is coming off windings.,58.15081421003912,0.802235,It is coming off windings.,It is coming off the windings.
817,I of want hang out though.,I still kind of want to hang out though.,I don't know what to do.,12.02620378279252,0.7317154,I don't know if I want to go out.,I don't know if I want to go out tonight.
820,And i do like men auburns hair.,And i do not like men with like auburn hair.,I do like men auburns hair.,35.811337665082206,0.82384825,I do like men with auburns hair.,I do like men auburn hair.
823,Does your fear keep you deep relationships one.,Does your fear keep you from deep personal relationships with one another.,Is your fear keeping you from deep relationships one.,54.74279494013871,0.9618833,Is your fear keeping you from deep relationships.,Is your fear keeping you from deep relationships?
824,But he do it on way u back.,But he did it on the way u back too.,He do it on way u back.,34.3303000876321,0.9379623,He do it on way u back.,He do it on the way u back.
829,Does tartar sauce go cajun spice.,Does tartar sauce go with cajun spices.,no,3.73134328358209,0.73306084,no,yes
837,Which be what you are saying.,Which is also what you are saying.,Which be what you are saying.,68.19506111895441,0.9208211,Which be what you are saying.,Which be what you are saying?
839,She be get good course and.,She is got some good courses and.,She be get good course and.,44.771992306872846,0.9179381,She be get good course and.,She be get good course and.
840,He would cut his nose spite her faces.,He would cut off his nose to spite his face.,He was very ruthless.,9.581276836040487,0.790849,He was very ruthless and had no respect for others.,He was very ruthless and had no respect for anyone.
844,There is a lines though guilts and responsibility.,There is a fine line though between guilt and responsibility.,Responsibility is a feeling of being able to do something about a situation.,36.87508232226017,0.8303236,Responsibility is a feeling of being able to do something about something.,Responsibility is a feeling of being able to do something about a problem.
847,I want go see kalamazoo symphony sometime.,I want to go see the kalamazoo symphony sometime.,I want to go see kalamazoo symphony.,68.58191410983811,0.98547775,I want to go see kalamazoo symphony sometime.,I want to go see kalamazoo symphony someday.
848,It do matter you can keep her hand grip.,It does not matter you can keep your right hand grip.,You are so strong.,6.709097260278362,0.71768117,You're not strong enough to hold her.,You're not strong enough to do it.
849,You said you never made horseshoes.,You said you never made the horseshoes.,I made a lot of horseshoes when I was a kid.,36.45082451994607,0.75007546,I made a lot of horseshoes when I was a child.,I made a lot of horseshoes when I was younger.
856,He has theories draw at art parallels.,He in here has some theories drawing at least art historical parallels.,He is a philosopher.,8.178059866235614,0.76186645,He is a theorist.,He is a theorist in philosophy.
859,And uh outcome will probably be to what you had.,And uh the outcome will probably be pretty close to what you had before.,And uh outcome will probably be to what you had.,59.74748746242562,0.94129694,And uh outcome will probably be the same.,And uh outcome will probably be to what you had had.
862,As far as what be going.,As far as what is going on.,I be going to the zoo.,16.61270266139369,0.667548,I be going to the zoo tomorrow.,I be going to the park.
864,I think there would be a slight chances it being negative.,I think there would be a slight chance of it being a false negative.,I think it would be a slight chance it being negative.,63.54601931214808,0.93685615,I think it would be a slight chances it being negative.,I think it would be a slight chance it being positive.
867,Well be color you can wear it everything.,Well black is such a good color you can wear it with everything.,Well be color you can wear it everything.,55.21879152367091,0.8932806,Well be color you can wear it everywhere.,Well be color you can wear it anything.
868,But why is it important a democracies person participate.,But why is it important in a democracy for the people to participate.,It is important a democracies person participate in the democratic process.,46.38925649509487,0.8694364,It is important a democracies person participate because it is the only way to keep the government accountable.,It is important a democracies person participate because it is the only way they can be represented.
869,I will not question or i.,I will not question or i not.,I will not question or i.,83.53371891855593,0.97325164,I will not question you.,I will not question or i.
874,Because you should pass a clubs so that person.,Because you should always pass a club so that the person.,Then you should pass a clubs so that person.,52.5661789914,0.8941112,The person should pass a clubs so that person.,Then you should pass a clubs so that person.
875,So i eat local foods and get ill.,So i eat the local food and get deathly ill.,I don't know what to do.,8.996288286578814,0.67297256,I don't know what to do with myself.,I don't want to eat food that is bad for me.
879,See if he could help problem.,To see if he could help with the problem.,He walked up to the desk.,9.944475690738384,0.74442303,He walked up to the bar.,He walked up to him.
883,Well i have either got sinus.,Well i have either got a sinus.,I have to go to the doctor.,17.08250512329565,0.7770815,I have to go to the doctor tomorrow.,I have to go to the ER.
884,I am pass three sthree card.,So i am passing three sthree cards.,I am pass three sthree card.,63.21550557675019,0.9343463,I am pass three sthree card.,I am pass a card.
885,They use live in valencia california.,They used to live in valencia california.,They are now in san antonio california.,37.5405329350776,0.8239751,They are now in santa monica california.,They are now in san antonio texas.
888,Do i think those thought guys be over there.,No sooner did i think this thought guys were over there.,"No, those thought guys are over there.",47.838418639725006,0.8454184,"No, those thought guys are not over there.","No, those thought guys are over here."
889,Well it be to do eye.,Well it is easier to do naked eye.,Well it be to do eye.,29.90461780937506,0.74635035,Well it be to do eye.,It be to do eye.
892,Only i have not had ice cubes september.,Only i have not had ice cubes here since september.,I have not had ice cubes september.,62.03802758901527,0.94780743,I have not had ice cubes since september.,I have not had ice cubes since july.
894,I would like to go dinner.,I would like to go out to dinner though.,I would like to go to a restaurant.,45.21630399557872,0.9026516,I would like to go to a restaurant with you.,I would like to go to a place that serves sushi.
899,He he sort get hook that.,He he sort of got hooked on that.,He he sort get hook that.,46.93363249966729,0.80733424,He he he sort get hook that.,He he sort get hook that.
900,And since they ship out torrance.,And since they ship out of torrance.,"Torrance is a seaport, it's easy for them to get to.",26.736168579916757,0.85611343,"Torrance is a seaport, it's easy for them to get there.","Torrance is a seaport, it's easy to get there."
901,See fears involve the misuses her imagination.,See fear really involves the misuse of our imagination.,See fears involve the misuses her imagination.,60.895149478369184,0.8991696,See fears involve the uses her imagination.,See fears involve the misuses of her imagination.
903,They do have autopsy do her.,They did have an autopsy done on her.,They do have autopsy do her.,49.00628956791881,0.96153057,They do have autopsy do her.,They do have autopsy do her.
904,I mean i do know where she goes meetings.,I mean i do not know where she goes to meetings.,I mean i do know where she goes meetings.,73.35730774698604,0.8848057,"I mean, i do know where she goes meetings.",I mean i do know where she goes.
905,And this is what separates salt.,And that is what separates the salt out.,This is what separates salt.,50.50160210552268,0.95566356,This is what separates salt from water.,This is what separates salt from the water.
906,But he does seem i do not know.,But he does not seem so i do not know.,But he does seem i do not know.,64.36876767728104,0.93479764,But he does seem i do not know.,But he does seem i do not know if.
909,We will have to buy those whiles.,We will not have to buy that for a while.,They are too expensive.,10.817917578201229,0.6955799,They are expensive.,We cannot afford to wait.
910,You need to get yourself clip art book and scanners.,You just need to get yourself a clip art book and a scanner.,You need to get yourself clip art book and scanners.,71.06582208066405,0.9636836,You need to get yourself clip art book and scanners to make your own clip art.,You need to get yourself clip art book and scanner.
911,Well you apparently know do it.,Well you apparently knew how to do it.,I'm just asking you to do it.,22.142134631679653,0.72818923,I'm just asking you to prove it.,I'm not sure.
912,I know the one the right.,I know the one in the lower right.,I'm going to be the one who gives the right answer.,33.201539488957884,0.73629785,I'm going to go with him.,I'm going to be the one who catches the ball.
915,My sister make a loaves bread got have piece.,My sister made a loaf of bread got to have a piece.,My sister make a loaves bread got have piece.,55.08458536837077,0.9572081,My sister is a baker.,My sister make a loaves bread and got have piece.
917,And doors are open house come two dogs.,And all the doors are open into the house come these two dogs.,And the dogs are in the house and eat a lot of food.,32.843136601058376,0.8133838,And the dogs are in a dog park.,And the dogs are in the house and eat a hamburger.
918,Hey look i have no problems.,Hey look i have no problem at all.,I don't have a problem.,29.325875585471227,0.90760446,I don't have a problem with you.,I don't have to do anything.
919,The secretaries serf almost no function.,Really the secretary serves almost no function.,The secretaries were a waste of time.,29.416050332260017,0.8354555,The secretaries were a waste of money.,The secretaries were a waste of their time.
925,Could person be making say danny right now.,You know how much could that person be making less than say danny right now.,"No, he is not making a danny right now.",30.662266749600214,0.7258369,"No, he's not making a danny right now.","No, he is not making a danny."
927,T other l perrizo this world.,T the other l perrizo in this world.,T other l perrizo this world.,70.60066019594228,0.9539622,T other l perrizo this world.,T otro l perrizo this world.
929,That you did send me flowers and uh.,You know that you did send me flowers and uh.,That you did send me flowers and uh.,79.38277433905695,0.9601526,That you did send me flowers and oh.,That you did send me flowers.
938,Turn the tv and help us roll tamales.,Turn off the tv and help us roll some tamales.,We are going to make tamales.,25.008831546566736,0.87660265,We are making tamales.,We are making tamales for a party.
940,It be granary it hold fourthousand pounds grain.,It is a granary it holds about fourthousand pounds of grain.,It be granary it hold fourthousand pounds grain.,65.61290190097809,0.9846462,It be granary it hold fourthousand pounds of grain.,It be granary it hold fourthousand pounds grain.
941,Okay okay i will just call ten or fifteen.,Okay okay so i will just call back in about ten or fifteen.,I will just call ten or fifteen.,49.36278120880159,0.9305216,I will call ten or fifteen.,I will just call ten.
942,But these are a little bits derive.,But these are a little bit more scientifically derived.,But these are a little bits derive.,54.3062292999442,0.7962091,But these are a little bits derive.,But these are a little bits deriv.
943,Because i think they be just our waist.,Because i always thought they were just below your waist.,Because i think they be just our waist.,39.53054280369221,0.850819,I think they be just our waist.,Because i think they be just our waist.
944,Oh they got ac up here.,Oh they got ac up here too.,They must have a nice room.,15.999762281167811,0.7275464,They must be hot.,They must have a nice summer.
946,Oh i think they be this.,Oh i think they are good like that.,I think they be this.,33.46120890716254,0.8240967,I think they're this.,I think they be a frog.
947,I do not need it divin.,I do not really need it the divin.,I do not need it.,31.91539777070365,0.9283351,I do not need it.,I do not want it.
949,The thing is technology that come it gets used.,The thing is any technology that comes up it gets used.,The thing is technology that come it gets used.,75.88795493915113,0.9317568,The thing is technology that come it gets used.,The thing is technology that come it gets used.
951,The lease be terminated my behavior.,The lease was terminated because of their behavior.,I broke the lease.,15.93853661880194,0.8386799,I broke the lease agreement.,The landlord is a tenant.
952,I do know i would wear it.,So i do not know when i would wear it.,I am a fashionista.,6.362936783902411,0.7499018,I am a fashion lover.,I am a girl.
956,He was like really and leave.,He was like really bored and left.,He was a big man and it was hard for him to fit in.,18.279996879434908,0.70989597,He was a big man.,He was a big man and it was hard for him to fit into the crowd.
958,Their daughter admitted it to me.,His daughter actually admitted it to me.,Their daughter was the one who had stolen the ring.,23.91146790768352,0.7673837,Their daughter was the one who had stolen their car.,Their daughter was the one who had stolen the bag.
963,And the whole time here he would look.,And then the whole time under here he would just look.,He was a very curious person.,7.970148467937244,0.8002239,He was a man of few words.,He was a nerd.
965,Just looked and then look and walked.,N just kind of looked and then looked and then walked.,I walked down the street.,16.550800746996295,0.7794031,I walked away.,I walked down the hall.
967,One days what do we bring.,That one day what did we bring out.,We bring a bag full of sand.,18.952772116740373,0.72367334,We bring a bag of ice cream.,We bring a bag with us.
968,I would have move this too.,I actually would have to move for that too.,I would have done the same thing.,26.313915723921365,0.7095249,I would have thrown it away.,I would have thrown it away too.
974,And things and give to these poors.,And all of these things and give to these poor.,"And I will take all these riches, and I will give them to these poors.",43.7859156982831,0.84892035,"And I will take all these riches, and I will give them to the poors.","And I will take all these riches, and I will give them to the poor."
977,And he would fall asleep me.,And he would fall asleep with me.,He would fall asleep on the couch.,59.38609232268014,0.8572422,He would fall asleep on the sofa.,He would fall asleep on the floor.
979,Because they do really want buy anything they just want look.,Because they did not really want to buy anything they just wanted to look.,They are looking at a lot of clothes in a store.,16.704845336976266,0.77102387,They are looking at a lot of clothes.,They are looking at a lot of clothes at the mall.
981,Let us see it was i guess forty seventy.,Let us see uh it was i guess forty maybe forty fortyfive seventy.,It was i guess forty seventy.,40.04177509637187,0.96739423,It was i guess forty seventy degrees.,It was i guess forty seven.
982,I mean he was pretty wild guy be he.,I mean he was a pretty wild guy was not he.,He had a lot of friends.,8.297077261587047,0.77060056,He had a lot of friends and a lot of fun.,He had a lot of fun.
983,That be the set shoes i ever saw my life.,That was the yougliest set of shoes i ever saw in my life.,That be the set shoes i ever saw my life.,46.39975598097345,0.85033286,That be the set shoes i ever saw my life.,That be the set of shoes i ever saw my life.
985,Find something else pick it up.,Find something else to pick it up with.,Find something else pick it up.,70.74065542854814,0.9362156,Find something else pick it up. Find something else pick it up.,"Find something else pick it up. Find something else, pick it up."
986,But i do want be the one.,But i do not want to be the only one.,I want to be the one that makes a difference.,44.213367112595385,0.8204579,I want to be the one that makes a difference in the world.,I want to be the one that makes a difference in the lives of others.
989,What do i have do please him.,What do i have to do to please him.,I have to do what he wants me to do.,33.94169585111613,0.8255347,I have to do what he asks me to do.,I have to do what he wants.
991,Connect distributor that do deal with them.,Connected with a distributor that does deal with them.,Connect distributor that do deal with them.,70.35874595487238,0.9362048,Connect distributor that do deal with them.,Connect dealer that do deal with them.
992,And i guess he really go.,And i guess he really goes fast.,I guess he really go.,58.041044254379294,0.84479636,I guess he really went.,I guess he really go to the store.
993,Turn it pours the water through.,Turn it on pour the water through.,The water pours from the faucet to the sink.,32.362201959873794,0.81575406,The water pours from the faucet.,The hose is now empty.
994,He have be voted one top ten racehorse the century.,He has also been voted one of the top ten racehorses of the century.,He was a top ten racehorse of the century.,52.161749142436165,0.9693538,He was a very good racehorse.,He was a top ten racehorse.
997,And friendships would be made these dancer intermingling.,And friendships would be made with all these dancers intermingling.,The dancers would dance together.,23.035497171990063,0.9070573,The dancers would dance in the ballroom.,The dancers would dance in the street.
1004,But like i be homesick at.,But like i am not homesick at all.,I miss my family.,6.176815979442987,0.69131964,I miss my family so much.,I miss my family a lot.
1007,You should wear them your birthday party.,You should wear them over here for your birthday party.,You will look good in them.,10.257749844768243,0.8332774,You will look cute in a pair of sparkly leggings.,You will look cute in a pair of shorts.
1008,And i consider myself real free thinker it comes to stuff.,And i consider myself a real free thinker when it comes to that stuff.,I don't care about rules.,8.792542649951068,0.745465,I don't care about the rules.,I don't care about the rules and regulations.
1009,There be going be some loss.,There is going to be some loss.,There be going be some loss.,59.64473762614395,0.99442154,There be going be some loss.,There be going to be some loss.
1011,And i have the impulse take.,And i had the impulse to take some.,I am the impulse taker.,43.43232696040267,0.8591977,I am a impulsive person.,I am the impulse take.
1012,I think you give him herbs some kind.,I think you gave him some herb of some kind.,He'll be fine.,4.952980564956,0.7440157,He'll be happy.,He's sick.
1013,But we will use this base.,But we will use this as a base.,We can't change it.,6.696428571428571,0.71939087,We can't use that base.,We can't use that base anymore.
1017,Nineteen seventynine john head to your new trainer ronald mcanally.,So in late nineteen seventynine john headed west to his new trainer ronald mcanally.,ronald mcanally is a good trainer.,28.619901839496293,0.85983837,ronald mcanally is a great coach.,ronald mcanally is a very good trainer.
1018,And it would start to do this dance.,And it would start to do this whole little dance.,It was a little frightened of me.,18.32908944048116,0.75834537,It was a little frightened.,It was a little shaky.
1021,You are you be bound lose something.,So you are you are bound to lose something.,You are you be bound lose something.,64.38609754742825,0.97831786,You are you be bound lose something.,You are you be bound to lose something.
1022,That he could spell it purpose.,So that he could spell it wrong on purpose.,That he could spell it purpose.,64.73036531155742,0.83603144,That he could spell it.,That he could spell it purpose is beyond me.
1026,Sherry it did not taste clammy.,Surprisingly enough sherry it did not taste real clammy.,Sherry was the only one who tasted it.,19.44832355169692,0.81969416,Sherry was the only one who tasted the wine.,Sherry was the only one who tasted the beer.
1029,Absolute value that you bring negative four side.,Absolute value of that you brought negative four over to the other side.,Absolute value that you bring negative four side.,55.31353308513072,0.96064764,Absolute value that you bring negative four side.,Absolute value that you bring negative four side.
1031,Well he should just go gas station.,Well he should just go to a gas station.,He needs to get some gas.,11.380983304039802,0.8673995,He needs gas.,He needs to get some fuel.
1032,You know you must be fag.,You know you must be a fag.,You are a bigot.,13.12602266023262,0.8082905,You're a racist.,You are a bigot!
1035,Because you will get a family,Because you will get in a big family.,You will get a family and not just a roommate.,38.28570968829049,0.8970206,You will get a family and not just a room.,You will get a family and not just a sexy couple.
1037,You know they tore it and i do remember.,You know they tore it down and i do not remember.,You know they tore it and i do remember.,69.25450474556868,0.84031785,You know they tore it and i do remember.,You know they tore it and I do remember.
1043,No i do know make it.,No i do not know how to make it.,No i do not know make it.,67.37259853625407,0.9519743,No i do not know make it.,No i do not know how to make it.
1046,Well see we have do it that.,Well see we have never done it like that.,We have to do it that.,22.71402858332173,0.7276749,We have to do it that.,We have to do that.
1048,So we see god preserved moses.,So we see how god preserved moses.,God is able to preserve us.,27.894992882779825,0.83491445,God is able to preserve people.,God is able to preserve the ark.
1049,I just had a pieces toast.,I just had a piece of toast.,I ate a piece of toast.,63.53467468466933,0.9618078,I ate a piece of toast for breakfast.,I am full.
1050,They are take risk of having their horses get lame but,They are taking the risk of having their horse get lame but it really never happens because we have our instructor right there telling us this is what you do.,they don't care because they want to win the race.,12.379900809123209,0.71326303,they don't care because they want to win.,they don't care because they want to win a race.
1052,Yeah because i have get woodcut.,Yeah because i have got some of these woodcuts.,I have to get woodcut.,21.50485631893461,0.8129614,I have to get a tattoo.,I have to cut the wood.
1053,But i do miss lot thing about a city.,But i do miss a lot of things about a city.,I miss a lot of things about a city.,82.99516063422462,0.9838997,I miss a lot of things about a city.,I miss a lot of things about the city.
1054,If i do sell i do make monies i get.,If i do not sell i do not make money i got uh.,I do sell i do make monies i get.,35.46729649253996,0.88638055,I do sell i do make monies i do get.,I do sell monies i get.
1055,The shops so they can work pharmacy.,Into the garden shop so they can work on the pharmacy.,They are a pharmacy so they can work.,44.29234986973888,0.8569999,They are a pharmacy so they can work in the shops.,They are a pharmacy so they can work in the shop.
1056,Do not fill your bag dear.,Do not fill your bag up dear.,You will be too full.,13.184600936350938,0.7494452,You will not like it.,You will be too full to walk.
1059,If he said there be withholding and everything.,If whatever he just said right there was true with withholding and everything.,He didn't have a clue what he was talking about.,17.5712554527845,0.70683086,He didn't have a clue what he was doing.,He didn't have a clue what he meant.
1063,Yeah so you can go and psee california and drink wines.,Yeah so you can go up there and psee old california and drink wine.,Then you can go and psee california and drink wines.,61.16468297894552,0.9376201,Then you can go and psee california and drink wine.,Then you can go to california and drink wines.
1064,They go this stupid fire science major,They go through this stupid fire science major out at.,They go this stupid fire science major.,71.29728695958345,0.9761228,They go this stupid fire science major.,They go this stupid fire science major.
1065,You are not going have salvation.,You are not going to have any salvation.,You are going to hell.,33.753242968558325,0.8331659,You are not going to be saved.,You are not going to have the Holy Ghost.
1071,Están más arrugado que sas qués.,Están más arrugados que quien sa qué.,Están más arrugado que sas qués.,59.257600299029725,0.9728943,Están más arrugado que sas qués.,Están más arrugado que sas ojos.
1075,And is not hear anything tower you know.,And the is not hearing anything from the tower you know.,And is not hear anything tower you know.,56.92651989022338,0.9129845,Is not hear anything tower you know.,And is not hear any tower you know.
1079,You know all artists put their.,You know all the all these artists put their.,paintings on display.,7.5313214449016925,0.7638737,paintings in a museum.,paintings on show.
1081,I says those is she is do therapy and stuff.,I says that is very soothing when she is doing therapy and stuff.,I say those is she is do therapy and stuff.,45.55063649964475,0.86668265,I say that is she is do therapy and stuff.,I say those is she is do therapy.
1084,And we want to try get rid this.,And we want to try to get rid of that.,We want to try and get rid of this.,59.79156573356922,0.94540656,We want to get rid of this.,We want to try to get rid of the thorns.
1089,We can go down and sit.,We can go down there and sit.,We can go down and sit.,65.63629785217152,0.97643536,We can go down to the beach.,We can go down and sit in the park.
1090,Of call ira it be call an sd for selfdirected.,Instead of called an ira it is called an ira sd for selfdirected.,Of call ira it be call an sd for selfdirected.,48.11022172900908,0.94610715,It be call an sd for selfdirected.,It be call an sd for selfdirected.
1093,There be eight clubs this mean there are only four left.,Now there are eight clubs out that means there are only four more left.,There be four clubs left.,17.210060819272204,0.91983944,There are only four clubs left.,There be four clubs left to play.
1096,You know she have those recipes.,You know she had all those recipes.,She is a cook.,7.244916581752925,0.79632336,She's a cook.,"She's a cook, after all."
1099,No i did say it i went that.,No i did not say it loud i just went like this.,No i did say it i went that.,27.366209965948112,0.8379855,No i did not say it i went that.,No i didn't say it i went that.
1101,I forgot horse was in there.,I forgot that horse was in there.,I was surprised that he didn't bite me.,22.693415051317984,0.7018281,I was surprised that he didn't eat the food.,I was surprised that he didn't eat the bread.
1102,And the marketplace be you know i think i live tangiers.,And the marketplace is uh you know maybe i think i live in tangiers.,And the marketplace be you know i think i live tangiers.,67.62889592210128,0.9795934,And the marketplace be you know i think i live tangiers.,And the marketplace be you know i think i live in tangiers.
1104,I would never say something that.,I would never say something like that but.,I would never say something like that.,90.2948844923612,0.94610894,I would never say something that.,I would never say that.
1105,We will talk those there too.,We will talk about that there too.,We will talk to those there too.,58.1461071410989,0.9405994,We will talk to them too.,We will talk to those there.
1106,And it be franchises of do packaging sending uh bases.,And it was a franchise of doing packaging sending uh from a mall basis.,And it be franchises of do packaging sending uh bases.,52.150560689215474,0.88326573,And it be franchises of do packaging sending uh bases.,And it be franchises of do packaging sending bases.
1112,What do you want drink bernard.,What do you want to drink bernard.,I want a gin and tonic.,14.44747749766442,0.79402363,I want a glass of water.,I want a glass of wine.
1114,I get something tell you alice.,I got something to tell you alice.,"Alice, i have something to tell you.",66.93464999972305,0.9773879,Alice.,"Alice, i have something tell you."
1116,It do make any difference for her.,It really does not make any difference for her.,She didn't care about the outcome.,11.3370861218597,0.8030425,She didn't care about the way she looked.,She didn't care about the way she looked or felt.
